,Location,Inhabitants,Latitude,Longitude,Postalcodes
138,Seiersberg,6637.0,47.009906071,15.395356203,"8054,8055,8073,8144"
139,Wilhelmsburg,6616.0,48.1050,15.6050,3150
140,Hartberg,6584.0,47.280534344,15.969983048,"8230,8274,8295"
141,Garsten,6552.0,48.0166667,14.4,"4400,4451,4461,4523"
142,Mattersburg,6547.0,47.7333333,16.4333333,7210
143,Absam,6543.0,47.3,11.5,6067
144,Kuchl,6536.0,47.6166667,13.15,"5424,5431,5440"
145,Pasching,6440.0,48.25,14.2,4061
146,Kremsmünster,6435.0,48.05,14.1333333,"4532,4540,4550,4621"
147,Eugendorf,6429.0,47.8666667,13.1230,"5301,5302"
148,Horn,6402.0,48.6650,15.6570,"3580,3751"
149,Frohnleiten,6361.0,47.272525756,15.323824448,"8121,8122,8130"
150,Wolkersdorf im Weinviertel,6301.0,48.3833333,16.5166667,"2120,2122"
151,Hörbranz,6281.0,47.55,9.75,6912
152,Frastanz,6278.0,47.2166667,9.6330556,6820
153,Gallneukirchen,6254.0,48.35,14.4166667,4210
154,Asten,6219.0,48.2166667,14.4,4481
155,Seeboden,6122.0,46.819475,13.517831,"9800,9851,9871,9872"
156,Eberndorf,6095.0,46.5913889,14.6411,"9125,9141"
157,Altach,6089.0,47.35,9.65,6844
158,Paternion,6064.0,46.712222,13.637778,"9701,9710,9711,9714"
159,Gloggnitz,6062.0,47.6755,15.9375,"2640,2641"
160,Laa an der Thaya,6031.0,48.7166667,16.3833333,"2064,2133,2135,2136"
161,Pottendorf,6014.0,47.9100,16.3870,"2485,2486"
162,Nenzing,6006.0,47.1830556,9.7,"6710,6820"
163,Timelkam,5989.0,48.0,13.6,"4841,4850,4860"
164,Pressbaum,5982.0,48.1833333,16.0833333,"2533,3012,3013,3021,3031,3032,3033,3443"
165,Fürstenfeld,5981.0,47.050409811,16.077647430,8280
166,Eisenerz,5886.0,47.543191231,14.885441307,8790
167,Himberg,5866.0,48.0833333,16.4333333,2325
168,Micheldorf in Oberösterreich,5841.0,47.8666667,14.1333333,"4560,4563,4564,4592"
169,Bad Gastein,5835.0,47.1166667,13.1333333,5640
170,Tamsweg,5829.0,47.15,13.7,5580
171,Traismauer,5822.0,48.35,15.7333333,3133
172,Abtenau,5805.0,47.55,13.35,"5441,5442,5524"
173,Ybbs an der Donau,5777.0,48.1666667,15.0833333,"3370,3373,3374"
174,Waidhofen an der Thaya,5764.0,48.8333333,15.4,3830
175,Neusiedl am See,5752.0,47.948611,16.843056,7100
176,Reutte,5733.0,47.4166667,10.55,6600
177,Gmünd,5733.0,48.7730,14.9860,"3871,3950"
178,Regau,5701.0,47.9833333,13.6833333,"4800,4812,4844,4845,4860"
179,Kindberg,5696.0,47.510588876,15.450231995,"8650,8652"
180,Schrems,5696.0,48.7930,15.0666667,"3872,3943,3944"
181,Hainburg an der Donau,5628.0,48.1480,16.9410,2410
182,Neumarkt am Wallersee,5567.0,47.95,13.2333333,5202
183,Oberndorf bei Salzburg,5560.0,47.95,12.9333333,5110
184,Sankt Florian,5518.0,48.2,14.3666667,4490
185,Poysdorf,5514.0,48.6700,16.6290,"2135,2141,2161,2170,2193"
186,Neuhofen an der Krems,5509.0,48.1333333,14.2166667,"4053,4501,4511,4531"
187,Mittersill,5509.0,47.2666667,12.4833333,"5730,5731"
188,Zistersdorf,5499.0,48.5450,16.7620,2225
189,Vösendorf,5490.0,48.1166667,16.3333333,"2331,2334"
190,Breitenfurt bei Wien,5478.0,48.1333333,16.1500,2384
191,Wilhering,5467.0,48.3166667,14.2,"4060,4061,4073"
192,Gleisdorf,5419.0,47.108803153,15.711201117,8200
193,Hörsching,5404.0,48.2333333,14.1833333,4063
194,Rottenmann,5398.0,47.525293421,14.357792462,8786
195,Hopfgarten im Brixental,5365.0,47.45,12.1666667,"6314,6361"
196,Gunskirchen,5344.0,48.1340,13.95,"4623,4650"
197,Friesach,5331.0,46.9525,14.409722,"9360,9361,9375"
198,Lochau,5323.0,47.5333333,9.75,"6900,6911"
199,Axams,5318.0,47.2333333,11.3,6094
200,Haag,5299.0,48.1120,14.5650,3350
201,Judendorf-Straßengel,5297.0,47.114791485,15.346613316,8111
202,Mattighofen,5287.0,48.11,13.15,5230
203,Thalheim bei Wels,5278.0,48.15,14.0333333,4600
204,Schwertberg,5273.0,48.2666667,14.5833333,"4311,4312"
205,Pinkafeld,5272.0,47.371667,16.121944,7423
